"Number of plantations in Swiss forest"

"Year";"Forest zone";"Canton";"Type of owner";"Wood species";"Number of plantations"
"1975";"Prealps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Prealps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Prealps";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";0
"1975";"Prealps";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
"1975";"Prealps";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";0
"1975";"Prealps";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";0
"1975";"Prealps";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";0
"1975";"Prealps";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";0
"1975";"Prealps";"Thurgau";"Type of owners - Total";"Species - Total";0
"1975";"Prealps";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Prealps";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Prealps";"Thurgau";"Private forest";"Species - Total";0
"1975";"Prealps";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"1975";"Prealps";"Thurgau";"Private forest";"Softwood (conifers)";0
"1975";"Prealps";"Thurgau";"Public forest";"Species - Total";0
"1975";"Prealps";"Thurgau";"Public forest";"Hardwood (deciduous)";0
"1975";"Prealps";"Thurgau";"Public forest";"Softwood (conifers)";0
"1975";"Alps";"Glarus";"Type of owners - Total";"Species - Total";151097
"1975";"Alps";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";142375
"1975";"Alps";"Glarus";"Type of owners - Total";"Softwood (conifers)";8722
"1975";"Alps";"Glarus";"Private forest";"Species - Total";400
"1975";"Alps";"Glarus";"Private forest";"Hardwood (deciduous)";400
"1975";"Alps";"Glarus";"Private forest";"Softwood (conifers)";0
"1975";"Alps";"Glarus";"Public forest";"Species - Total";150697
"1975";"Alps";"Glarus";"Public forest";"Hardwood (deciduous)";141975
"1975";"Alps";"Glarus";"Public forest";"Softwood (conifers)";8722
"1975";"Alps";"Schaffhausen";"Type of owners - Total";"Species - Total";0
"1975";"Alps";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Alps";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Alps";"Schaffhausen";"Private forest";"Species - Total";0
"1975";"Alps";"Schaffhausen";"Private forest";"Hardwood (deciduous)";0
"1975";"Alps";"Schaffhausen";"Private forest";"Softwood (conifers)";0
"1975";"Alps";"Schaffhausen";"Public forest";"Species - Total";0
"1975";"Alps";"Schaffhausen";"Public forest";"Hardwood (deciduous)";0
"1975";"Alps";"Schaffhausen";"Public forest";"Softwood (conifers)";0
"1975";"Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"1975";"Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Alps";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"1975";"Alps";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"1975";"Alps";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"1975";"Alps";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"1975";"Alps";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"1975";"Alps";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"1975";"Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"1975";"Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Alps";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"1975";"Alps";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"1975";"Alps";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"1975";"Alps";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"1975";"Alps";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"1975";"Alps";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1975";"Alps";"St. Gallen";"Type of owners - Total";"Species - Total";114300
"1975";"Alps";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";101950
"1975";"Alps";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";12350
"1975";"Alps";"St. Gallen";"Private forest";"Species - Total";17220
"1975";"Alps";"St. Gallen";"Private forest";"Hardwood (deciduous)";15520
"1975";"Alps";"St. Gallen";"Private forest";"Softwood (conifers)";1700
"1975";"Alps";"St. Gallen";"Public forest";"Species - Total";97080
"1975";"Alps";"St. Gallen";"Public forest";"Hardwood (deciduous)";86430
"1975";"Alps";"St. Gallen";"Public forest";"Softwood (conifers)";10650
"1975";"Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";842029
"1975";"Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";766224
"1975";"Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";75805
"1975";"Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";10140
